model,exp,lang,run_id,harness,time_min,input_uncached,cache_read,cache_write_5m,cache_write_1h,cache_write_unsplit,output,reasoning_in_output,unique_requests,dup_removed,source_path,method,notes
kimi-k3,EXP-014,en,kimi-1,claude-code-direct(Moonshot),21.3,81252,2339328,0,0,,31302,yes,50,82,/Users/dohyunjung/ralph-exp014/claude-config-projects-kimi-1,csv_verified,matches experiments/014-kimi-k3-direct/runs/kimi-1/usage-kimi-1.csv (last-wins dedup script)
kimi-k3,EXP-016,en,kimi-2,claude-code-direct(Moonshot),7.62,53568,1135104,0,0,,14390,yes,31,29,/Users/dohyunjung/ralph-exp014/claude-config-projects-kimi-2,csv_verified,matches experiments/016-n3-replication/runs/kimi-2/usage-kimi-2.csv (last-wins dedup script)
kimi-k3,EXP-016,en,kimi-3,claude-code-direct(Moonshot),7.87,58329,1317632,0,0,,14205,yes,38,37,/Users/dohyunjung/ralph-exp014/claude-config-projects-kimi-3,csv_verified,matches experiments/016-n3-replication/runs/kimi-3/usage-kimi-3.csv (last-wins dedup script)
kimi-k3,EXP-017,ko,kimi-ko-1,claude-code-direct(Moonshot),15.88,59945,1277440,0,0,,24024,yes,30,38,/Users/dohyunjung/ralph-exp017k/claude-config-projects-kimi-ko-1,csv_verified,matches experiments/017-ko-condition/runs/kimi-ko-1/usage-kimi-ko-1.csv (last-wins dedup script)
kimi-k3,EXP-017,ko,kimi-ko-2,claude-code-direct(Moonshot),13.67,65195,1598464,0,0,,18767,yes,37,53,/Users/dohyunjung/ralph-exp017k/claude-config-projects-kimi-ko-2,csv_verified,matches experiments/017-ko-condition/runs/kimi-ko-2/usage-kimi-ko-2.csv (last-wins dedup script)
kimi-k3,EXP-017,ko,kimi-ko-3,claude-code-direct(Moonshot),10.6,58772,1150464,0,0,,17176,yes,31,36,/Users/dohyunjung/ralph-exp017k/claude-config-projects-kimi-ko-3,csv_verified,matches experiments/017-ko-condition/runs/kimi-ko-3/usage-kimi-ko-3.csv (last-wins dedup script)
qwen3.8-max,EXP-013,en,qwen-1,claude-code-direct(DashScope),15.08,2381,2131487,83419,0,,34617,yes,39,85,/Users/dohyunjung/ralph-exp013/claude-config-projects-qwen-1,csv_verified,"39 ids had preliminary(message_start,output=0,no cache dict)+final rows; final used; matches experiments/013-qwen38max-direct/runs/qwen-1/usage-qwen-1.csv (last-wins dedup script)"
qwen3.8-max,EXP-016,en,qwen-2,claude-code-direct(DashScope),15.58,3347,3666165,95053,0,,40930,yes,61,114,/Users/dohyunjung/ralph-exp013/claude-config-projects-qwen-2,csv_verified,"61 ids had preliminary(message_start,output=0,no cache dict)+final rows; final used; matches experiments/016-n3-replication/runs/qwen-2/usage-qwen-2.csv (last-wins dedup script)"
qwen3.8-max,EXP-016,en,qwen-3,claude-code-direct(DashScope),14.62,5451,2618446,89486,0,,37005,yes,44,105,/Users/dohyunjung/ralph-exp013/claude-config-projects-qwen-3,csv_verified,"44 ids had preliminary(message_start,output=0,no cache dict)+final rows; final used; matches experiments/016-n3-replication/runs/qwen-3/usage-qwen-3.csv (last-wins dedup script)"
qwen3.8-max,EXP-017,ko,qwen-ko-1,claude-code-direct(DashScope),22.78,3160,4640035,91113,0,,45819,yes,71,138,/Users/dohyunjung/ralph-exp017q/claude-config-projects-qwen-ko-1,reaggregated,"71 ids had preliminary(message_start,output=0,no cache dict)+final rows; final used; 1 ids have ONLY preliminary usage (final unknown) -> excluded; prelim input est 20886; existing experiments/017-ko-condition/runs/qwen-ko-1/usage-qwen-ko-1.csv differs (24046, 91113, 4640035, 45819) (last-wins kept prelim-only rows)"
qwen3.8-max,EXP-017,ko,qwen-ko-2,claude-code-direct(DashScope),22.32,2549,3009026,83495,0,,32750,yes,51,98,/Users/dohyunjung/ralph-exp017q/claude-config-projects-qwen-ko-2,csv_verified,"51 ids had preliminary(message_start,output=0,no cache dict)+final rows; final used; matches experiments/017-ko-condition/runs/qwen-ko-2/usage-qwen-ko-2.csv (last-wins dedup script)"
qwen3.8-max,EXP-017,ko,qwen-ko-3,claude-code-direct(DashScope),23.5,3656,4185867,96698,0,,44362,yes,67,136,/Users/dohyunjung/ralph-exp017q/claude-config-projects-qwen-ko-3,reaggregated,"67 ids had preliminary(message_start,output=0,no cache dict)+final rows; final used; 2 ids have ONLY preliminary usage (final unknown) -> excluded; prelim input est 46621; existing experiments/017-ko-condition/runs/qwen-ko-3/usage-qwen-ko-3.csv differs (50277, 96698, 4185867, 44362) (last-wins kept prelim-only rows)"
gpt-5.6-sol,EXP-011,en,sol-1,codex-cli,5.77,75740,1105408,,,,13330,yes,26,0,/Users/dohyunjung/ralph-exp011/codex-sessions-sol-1/2026/08/03/rollout-2026-08-03T07-42-36-019fc4a4-b69a-7443-a353-ab9e1524f61c.jsonl,reaggregated,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); equals sum of per-request last_token_usage; input_uncached=input_tokens-cached_input_tokens (1181148-1105408); reasoning_output_tokens(subset of output)=2442; no cache-write field in rollout; excluded pre-run smoke rollout 07-41-02 (""Reply with exactly: OK"", 13264 in/9984 cached/5 out) that existing usage-sol-1.csv included; existing experiments/012-ccr-gpt56-sol/runs/sol-1/usage-sol-1.csv differs (11111832, 77145, 22248)"
gpt-5.6-sol,EXP-016,en,sol-2,codex-cli,10.0,130129,2014464,,,,21788,yes,55,0,/Users/dohyunjung/ralph-exp011/codex-sessions-sol-2/2026/08/04/rollout-2026-08-04T07-26-02-019fc9bb-e7e6-7cd0-9996-f72000b342a8.jsonl;/Users/dohyunjung/ralph-exp011/codex-sessions-sol-2/2026/08/04/rollout-2026-08-04T07-30-26-019fc9bf-edd6-7831-8eba-a599048ac93b.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 2 session(s); equals sum of per-request last_token_usage; input_uncached=input_tokens-cached_input_tokens (2144593-2014464); reasoning_output_tokens(subset of output)=3917; no cache-write field in rollout; 2 iteration rollouts summed; matches experiments/016-n3-replication/runs/sol-2/usage-sol-2.csv"
gpt-5.6-sol,EXP-016,en,sol-3,codex-cli,5.28,75010,1259520,,,,12202,yes,28,0,/Users/dohyunjung/ralph-exp011/codex-sessions-sol-3/2026/08/04/rollout-2026-08-04T07-59-14-019fc9da-4bc0-78f0-8358-056f3cdb6e5f.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); equals sum of per-request last_token_usage; input_uncached=input_tokens-cached_input_tokens (1334530-1259520); reasoning_output_tokens(subset of output)=1825; no cache-write field in rollout; matches experiments/016-n3-replication/runs/sol-3/usage-sol-3.csv"
gpt-5.6-sol,EXP-019,ko,solko-1,codex-cli,7.53,72255,1358336,,,,16191,yes,34,0,/Users/dohyunjung/ralph-exp019/codex-sessions-solko-1/2026/08/06/rollout-2026-08-06T10-16-14-019fd4a4-6fc3-7a60-9bca-b114cb23aefe.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); equals sum of per-request last_token_usage; input_uncached=input_tokens-cached_input_tokens (1430591-1358336); reasoning_output_tokens(subset of output)=3442; no cache-write field in rollout; matches experiments/019-ko-native-codex/runs/usage-codex.csv"
gpt-5.6-sol,EXP-019,ko,solko-2,codex-cli,8.72,95742,1606144,,,,17349,yes,34,0,/Users/dohyunjung/ralph-exp019/codex-sessions-solko-2/2026/08/06/rollout-2026-08-06T10-42-30-019fd4bc-7e1d-7410-b3ff-fadc255aff4e.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); equals sum of per-request last_token_usage; input_uncached=input_tokens-cached_input_tokens (1701886-1606144); reasoning_output_tokens(subset of output)=2430; no cache-write field in rollout; matches experiments/019-ko-native-codex/runs/usage-codex.csv"
gpt-5.6-sol,EXP-019,ko,solko-3,codex-cli,6.9,62771,1147392,,,,13655,yes,30,0,/Users/dohyunjung/ralph-exp019/codex-sessions-solko-3/2026/08/06/rollout-2026-08-06T11-10-02-019fd4d5-b235-7c03-b634-7b5411b97c37.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); equals sum of per-request last_token_usage; input_uncached=input_tokens-cached_input_tokens (1210163-1147392); reasoning_output_tokens(subset of output)=2526; no cache-write field in rollout; matches experiments/019-ko-native-codex/runs/usage-codex.csv"
gpt-6-astra,EXP-021,en,astra-1,codex-cli,7.6,106100,819328,,,0,12524,yes,21,0,/Users/dohyunjung/ralph-exp021/codex-sessions-astra-1/2026/09/10/rollout-2026-09-10T07-38-16-01a08852-66c7-78a1-bb28-9a2c204eb1d1.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); equals sum of per-request last_token_usage; input_uncached=input_tokens-cached_input_tokens (925428-819328); reasoning_output_tokens(subset of output)=867; matches experiments/021-gpt6-astra-codex/runs/usage-astra-1.csv"
gpt-6-astra,EXP-021,en,astra-2,codex-cli,7.1,58585,820864,,,0,12214,yes,22,0,/Users/dohyunjung/ralph-exp021/codex-sessions-astra-2/2026/09/10/rollout-2026-09-10T07-46-00-01a08859-7ad3-7151-a7f1-d41b84e8a9ca.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); equals sum of per-request last_token_usage; input_uncached=input_tokens-cached_input_tokens (879449-820864); reasoning_output_tokens(subset of output)=488; matches experiments/021-gpt6-astra-codex/runs/usage-astra-2.csv"
gpt-6-astra,EXP-021,en,astra-3,codex-cli,7.08,45342,724480,,,0,12625,yes,20,0,/Users/dohyunjung/ralph-exp021/codex-sessions-astra-3/2026/09/10/rollout-2026-09-10T07-53-14-01a08860-19d8-7211-9d9a-80faf30725e7.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); equals sum of per-request last_token_usage; input_uncached=input_tokens-cached_input_tokens (769822-724480); reasoning_output_tokens(subset of output)=314; matches experiments/021-gpt6-astra-codex/runs/usage-astra-3.csv"
Solar Open 2,EXP-015,en,solar-1,claude-code-direct(Upstage),58.25,32711307,0,0,0,,252341,yes,396,690,/Users/dohyunjung/ralph-exp015/claude-config-projects-solar-1,csv_verified,"46 ids had preliminary(message_start,output=0,no cache dict)+final rows; final used; 2 subagent transcripts included; includes aborted iter-3 session dc547653 (17 req: input 627342, output 3356) that started after gate false-reject; report 252.3K includes it; matches experiments/015-solar-open2-direct/runs/solar-1/usage-solar-1.csv (last-wins dedup script)"
Solar Pro 4,EXP-020,en,pro4-1,claude-code-direct(Upstage),258.38,51314046,0,0,0,,195628,yes,627,934,/Users/dohyunjung/ralph-exp020/claude-config-projects-pro4-1,reaggregated,12 iteration sessions (iters 3-11 gate false-rejects) all included
Solar Pro 4,EXP-020,en,pro4-2,claude-code-direct(Upstage),171.4,26097914,0,0,0,,113539,yes,292,414,/Users/dohyunjung/ralph-exp020/claude-config-projects-pro4-2,reaggregated,"4 ids had preliminary(message_start,output=0,no cache dict)+final rows; final used; 2 subagent transcripts included; 2 iterations"
Solar Pro 4,EXP-020,en,pro4-3,claude-code-direct(Upstage),118.67,15410410,0,0,0,,103633,yes,160,236,/Users/dohyunjung/ralph-exp020/claude-config-projects-pro4-3,reaggregated,
gpt-6-sol,EXP-027,en,sol-en-1,codex-cli,5.2,47826,1412352,,,0,10764,yes,,0,/Users/dohyunjung/ralph-exp027/sessions-sol-en-1/2026/09/24/rollout-2026-09-24T08-47-31-01a0d0aa-d405-7681-b1fa-42763259a2be.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); input_uncached=input_tokens-cached_input_tokens (1460178-1412352); reasoning_output_tokens(subset of output)=1833; matches experiments/027-gpt6-sol-luna-codex/runs/usage.csv"
gpt-6-sol,EXP-027,en,sol-en-2,codex-cli,4.92,60339,1007616,,,0,11005,yes,,0,/Users/dohyunjung/ralph-exp027/sessions-sol-en-2/2026/09/24/rollout-2026-09-24T09-03-03-01a0d0b9-0e1f-7c81-82e8-e97c5b20eba6.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); input_uncached=input_tokens-cached_input_tokens (1067955-1007616); reasoning_output_tokens(subset of output)=1742; matches experiments/027-gpt6-sol-luna-codex/runs/usage.csv"
gpt-6-sol,EXP-027,en,sol-en-3,codex-cli,4.75,44732,1035520,,,0,10438,yes,,0,/Users/dohyunjung/ralph-exp027/sessions-sol-en-3/2026/09/24/rollout-2026-09-24T09-25-32-01a0d0cd-a38c-74f1-a91f-3297f84b92be.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); input_uncached=input_tokens-cached_input_tokens (1080252-1035520); reasoning_output_tokens(subset of output)=2151; matches experiments/027-gpt6-sol-luna-codex/runs/usage.csv"
gpt-6-luna,EXP-027,en,luna-en-1,codex-cli,9.97,114749,3903744,,,0,21483,yes,,0,/Users/dohyunjung/ralph-exp027/sessions-luna-en-1/2026/09/24/rollout-2026-09-24T08-52-54-01a0d0af-c0f3-7812-bad8-ab66f5714705.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); input_uncached=input_tokens-cached_input_tokens (4018493-3903744); reasoning_output_tokens(subset of output)=4652; matches experiments/027-gpt6-sol-luna-codex/runs/usage.csv"
gpt-6-luna,EXP-027,en,luna-en-2,codex-cli,6.63,77620,1455104,,,0,14123,yes,,0,/Users/dohyunjung/ralph-exp027/sessions-luna-en-2/2026/09/24/rollout-2026-09-24T09-18-46-01a0d0c7-6e8f-74a0-a4a7-e649d53ff047.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); input_uncached=input_tokens-cached_input_tokens (1532724-1455104); reasoning_output_tokens(subset of output)=2704; matches experiments/027-gpt6-sol-luna-codex/runs/usage.csv"
gpt-6-luna,EXP-027,en,luna-en-3,codex-cli,5.37,57003,1059328,,,0,13411,yes,,0,/Users/dohyunjung/ralph-exp027/sessions-luna-en-3/2026/09/24/rollout-2026-09-24T09-30-28-01a0d0d2-2611-7413-a0b3-a85b6109300e.jsonl,csv_verified,"rollout total_token_usage (session-cumulative, last event) summed over 1 session(s); input_uncached=input_tokens-cached_input_tokens (1116331-1059328); reasoning_output_tokens(subset of output)=3010; matches experiments/027-gpt6-sol-luna-codex/runs/usage.csv"
Sonnet 5,EXP-028,en,en-1,claude-code-native,15.33,208,7725591,0,196886,,73701,yes,104,108,/Users/dohyunjung/ralph-exp028/sessions-sonnet5-en-1,csv_verified,3 iterations (3:21+3:29+8:30); time = sum of iteration sessions; matches experiments/028-sonnet5-ralph/runs/usage.csv (message.id dedup)
Sonnet 5,EXP-028,ko,ko-1,claude-code-native,14.17,192,11323343,0,148810,,64721,yes,96,66,/Users/dohyunjung/ralph-exp028/sessions-sonnet5-ko-1,csv_verified,; matches experiments/028-sonnet5-ralph/runs/usage.csv (message.id dedup)
Sonnet 5,EXP-028,en,en-2,claude-code-native,14.2,180,8549275,54264,111156,,57585,yes,90,,/Users/dohyunjung/ralph-exp028/sessions-sonnet5-en-2,csv_verified,includes 1 subagent session (5m cache writes 54264; output 9660); matches experiments/028-sonnet5-ralph/runs/usage.csv (message.id dedup)
Sonnet 5,EXP-028,ko,ko-2,claude-code-native,16.75,280,14342610,0,153903,,72126,yes,140,,/Users/dohyunjung/ralph-exp028/sessions-sonnet5-ko-2,csv_verified,; matches experiments/028-sonnet5-ralph/runs/usage.csv (message.id dedup)
Sonnet 5,EXP-028,en,en-3,claude-code-native,12.95,210,10351511,0,133847,,59152,yes,105,,/Users/dohyunjung/ralph-exp028/sessions-sonnet5-en-3,csv_verified,; matches experiments/028-sonnet5-ralph/runs/usage.csv (message.id dedup)
Sonnet 5,EXP-028,ko,ko-3,claude-code-native,11.23,168,7227438,40269,115643,,66360,yes,84,,/Users/dohyunjung/ralph-exp028/sessions-sonnet5-ko-3,csv_verified,includes 1 subagent session (5m cache writes 40269; output 7174); matches experiments/028-sonnet5-ralph/runs/usage.csv (message.id dedup)
